,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,PCdoB,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,8,0
1,PDT,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,2,3
2,PFL,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,5,43
3,PL,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,30,1
4,PMDB,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,39,15
5,PP,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,29,12
6,PPS,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,16,0
7,PRONA,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,0,2
8,PSB,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,15,0
9,PSC,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,5,0
10,PSDB,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,4,32
11,PSL,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,1,0
12,PT,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,71,5
13,PTB,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,40,1
14,PV,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,1,2
15,S.Part.,2184,252088,2004-05-12 19:12:33.0,2004-05-12 22:24:29.0,0,4
