,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,PCdoB,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,5,1
1,PDT,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,0,10
2,PFL,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,2,49
3,PL,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,26,3
4,PMDB,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,35,30
5,PP,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,30,10
6,PPS,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,11,4
7,PRONA,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,0,2
8,PSB,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,15,1
9,PSC,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,1,2
10,PSDB,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,1,33
11,PSL,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,1,0
12,PT,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,66,16
13,PTB,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,37,5
14,PV,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,2,3
15,S.Part.,2197,251072,2004-06-02 17:17:42.0,2004-06-02 21:05:21.0,0,3
