,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,3,0
1,1,PDT,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,9,1
2,2,PFL,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,10,29
3,3,PL,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,24,0
4,4,PMDB,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,43,1
5,5,PMN,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,1,0
6,6,PP,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,27,1
7,7,PPS,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,14,0
8,8,PRONA,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,2,0
9,9,PSB,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,11,0
10,10,PSC,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,6,0
11,11,PSDB,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,2,31
12,12,PSL,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,1,0
13,13,PT,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,59,3
14,14,PTB,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,38,2
15,15,PV,1980,113717,2003-09-24 16:06:54.0,2003-09-24 21:10:15.0,3,1
