,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,8,0
1,1,PDT,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,9,0
2,2,PFL,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,1,39
3,3,PL,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,34,0
4,4,PMDB,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,40,9
5,5,PP,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,0,12
6,6,PPS,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,18,0
7,7,PRONA,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,0,2
8,8,PSB,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,17,0
9,9,PSC,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,5,0
10,10,PSDB,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,1,20
11,11,PSL,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,1,0
12,12,PT,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,75,1
13,13,PTB,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,5,6
14,14,PV,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,2,1
15,15,S.Part.,2167,150357,2004-04-14 14:00:31.0,2004-04-14 19:40:49.0,1,0
