,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,5,0
1,1,PDT,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,10,0
2,2,PFL,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,18,30
3,3,PL,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,25,0
4,4,PMDB,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,55,1
5,5,PP,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,32,1
6,6,PPS,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,14,0
7,7,PRONA,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,0,2
8,8,PSB,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,10,1
9,9,PSC,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,5,0
10,10,PSDB,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,6,30
11,11,PSL,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,0,0
12,12,PT,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,54,13
13,13,PTB,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,39,3
14,14,PV,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,0,5
15,15,S.Part.,2027,140375,2004-01-21 13:58:10.0,2004-01-21 20:15:21.0,0,3
