,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,10,0
1,1,1,PDT,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,13,0
2,2,2,PFL,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,6,54
3,3,3,PL,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,24,0
4,4,4,PMDB,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,46,1
5,5,5,PMN,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,2,0
6,6,6,PPB,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,32,1
7,7,7,PPS,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,11,0
8,8,8,PRONA,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,2,4
9,9,9,PSB,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,26,0
10,10,10,PSC,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,0,0
11,11,11,PSDB,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,2,43
12,12,12,PT,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,77,1
13,13,13,PTB,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,37,0
14,14,14,PV,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,4,1
15,15,15,S.Part.,1855,105506,2003-04-08 14:00:52.0,2003-04-08 20:00:37.0,1,0
