,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,8,0
1,1,1,PDT,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,11,0
2,2,2,PFL,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,11,17
3,3,3,PL,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,23,0
4,4,4,PMDB,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,31,0
5,5,5,PMN,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,1,0
6,6,6,PP,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,31,1
7,7,7,PPS,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,14,0
8,8,8,PRONA,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,0,4
9,9,9,PSB,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,18,0
10,10,10,PSC,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,0,0
11,11,11,PSDB,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,4,20
12,12,12,PSL,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,1,0
13,13,13,PT,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,58,0
14,14,14,PTB,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,33,2
15,15,15,PV,1925,124115,2003-08-12 14:30:31.0,2003-08-12 19:32:28.0,4,1
