,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,10,0
1,1,1,PDT,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,9,2
2,2,2,PFL,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,5,14
3,3,3,PL,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,18,0
4,4,4,PMDB,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,30,1
5,5,5,PMN,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,0,0
6,6,6,PP,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,25,3
7,7,7,PPS,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,13,0
8,8,8,PRONA,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,0,4
9,9,9,PSB,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,17,3
10,10,10,PSC,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,1,0
11,11,11,PSDB,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,14,7
12,12,12,PSL,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,1,0
13,13,13,PT,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,63,1
14,14,14,PTB,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,38,0
15,15,15,PV,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,3,1
16,16,16,S.Part.,1915,113716,2003-08-06 20:41:55.0,2003-08-07 03:05:08.0,0,0
