,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
1,1,1,PDT,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
2,2,2,PFL,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
3,3,3,PL,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
4,4,4,PMDB,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
5,5,5,PMN,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
6,6,6,PP,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
7,7,7,PPS,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
8,8,8,PRONA,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
9,9,9,PSB,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
10,10,10,PSC,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
11,11,11,PSDB,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
12,12,12,PT,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
13,13,13,PTB,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
14,14,14,PV,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
15,15,15,S.Part.,1875,112203,2003-06-03 14:00:17.0,2003-06-03 20:58:01.0,,
