,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,9,0
1,1,1,PDT,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,7,1
2,2,2,PFL,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,11,26
3,3,3,PL,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,27,0
4,4,4,PMDB,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,55,4
5,5,5,PMN,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,1,0
6,6,6,PP,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,10,0
7,7,7,PPS,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,15,0
8,8,8,PRONA,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,0,4
9,9,9,PSB,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,15,2
10,10,10,PSC,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,1,0
11,11,11,PSDB,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,3,19
12,12,12,PSL,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,1,0
13,13,13,PT,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,78,6
14,14,14,PTB,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,31,4
15,15,15,PV,1938,113716,2003-08-27 09:31:09.0,2003-08-27 15:01:29.0,3,0
