,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,10,0
1,1,1,PDT,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,9,2
2,2,2,PFL,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,19,23
3,3,3,PL,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,28,2
4,4,4,PMDB,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,41,5
5,5,5,PMN,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,0,0
6,6,6,PP,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,28,12
7,7,7,PPS,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,14,0
8,8,8,PRONA,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,0,5
9,9,9,PSB,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,26,0
10,10,10,PSC,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,1,0
11,11,11,PSDB,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,9,29
12,12,12,PSL,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,1,0
13,13,13,PT,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,39,2
14,14,14,PTB,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,39,6
15,15,15,PV,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,3,2
16,16,16,S.Part.,1910,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,1,0
