,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,11,0
1,1,PDT,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,8,3
2,2,PFL,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,7,51
3,3,PL,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,27,1
4,4,PMDB,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,54,11
5,5,PMN,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,0,0
6,6,PP,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,16,14
7,7,PPS,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,15,3
8,8,PRONA,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,0,5
9,9,PSB,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,8,0
10,10,PSC,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,6,0
11,11,PSDB,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,5,37
12,12,PSL,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,1,0
13,13,PT,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,89,1
14,14,PTB,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,31,13
15,15,PV,1969,113717,2003-09-16 16:36:29.0,2003-09-16 23:24:10.0,3,1
