,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,6,0
1,1,PDT,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,6,0
2,2,PFL,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,5,18
3,3,PL,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,30,0
4,4,PMDB,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,47,1
5,5,PMN,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,0,0
6,6,PP,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,26,0
7,7,PPS,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,12,0
8,8,PRONA,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,0,4
9,9,PSB,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,15,0
10,10,PSC,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,2,0
11,11,PSDB,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,36,3
12,12,PSL,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,1,0
13,13,PT,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,68,3
14,14,PTB,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,29,2
15,15,PV,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,2,0
16,16,S.Part.,1948,113717,2003-09-10 15:32:11.0,2003-09-10 21:05:47.0,1,0
