,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
1,1,1,PDT,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
2,2,2,PFL,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
3,3,3,PL,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
4,4,4,PMDB,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
5,5,5,PMN,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
6,6,6,PP,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
7,7,7,PPS,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
8,8,8,PRONA,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
9,9,9,PSB,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
10,10,10,PSC,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
11,11,11,PSDB,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
12,12,12,PT,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
13,13,13,PTB,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
14,14,14,PV,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
15,15,15,S.Part.,1906,125572,2003-07-31 14:00:15.0,2003-07-31 19:25:25.0,,
