,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,8,0
1,1,1,PDT,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,13,0
2,2,2,PFL,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,30,20
3,3,3,PL,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,25,1
4,4,4,PMDB,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,50,2
5,5,5,PMN,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,1,0
6,6,6,PPB,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,3,34
7,7,7,PPS,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,17,0
8,8,8,PRONA,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,0,6
9,9,9,PSB,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,21,1
10,10,10,PSC,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,0,0
11,11,11,PSDB,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,43,5
12,12,12,PT,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,84,1
13,13,13,PTB,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,30,0
14,14,14,PV,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,1,4
15,15,15,S.Part.,1859,105504,2003-04-23 20:16:23.0,2003-04-23 22:27:49.0,2,0
