,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,DEM,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,34,3
1,1,PCdoB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,0,11
2,2,PDT,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,20,0
3,3,PHS,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,1,0
4,4,PMDB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,66,8
5,5,PMN,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,2,2
6,6,PP,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,28,4
7,7,PPS,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,0,10
8,8,PR,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,20,7
9,9,PRB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,2,0
10,10,PSB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,2,21
11,11,PSC,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,3,4
12,12,PSDB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,39,7
13,13,PSOL,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,0,3
14,14,PT,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,61,0
15,15,PTB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,16,0
16,16,PTC,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,1,0
17,17,PTdoB,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,1,0
18,18,PV,3676,112893,2009-05-19 17:39:56.0,2009-05-19 21:19:57.0,11,2
