,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,8,0
1,1,PDT,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,9,0
2,2,PFL,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,41,5
3,3,PL,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,6,25
4,4,PMDB,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,47,0
5,5,PP,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,17,7
6,6,PPS,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,12,0
7,7,PRONA,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,0,4
8,8,PSB,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,14,1
9,9,PSC,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,5,0
10,10,PSDB,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,5,31
11,11,PSL,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,0,1
12,12,PT,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,66,6
13,13,PTB,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,36,2
14,14,PV,1993,125572,2003-10-15 20:15:30.0,2003-10-15 22:43:19.0,2,0
