,Unnamed: 0,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,PCdoB,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,6,0
1,1,PDT,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,9,0
2,2,PFL,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,2,23
3,3,PL,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,26,0
4,4,PMDB,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,38,10
5,5,PP,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,0,15
6,6,PPS,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,17,0
7,7,PRONA,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,0,1
8,8,PSB,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,13,0
9,9,PSC,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,5,0
10,10,PSDB,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,1,22
11,11,PSL,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,0,0
12,12,PT,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,61,1
13,13,PTB,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,38,1
14,14,PV,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,3,0
15,15,S.Part.,2169,150359,2004-04-27 14:00:39.0,2004-04-27 20:01:28.0,2,1
