,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,12
1,PCdoB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,12,0
2,PDT,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,9,5
3,PEN,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,1,0
4,PHS,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,4,1
5,PMDB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,38,17
6,PMN,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,3
7,PP,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,13,13
8,PPS,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,10
9,PR,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,24,5
10,PRB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,14,5
11,PROS,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,10,1
12,PRP,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,1,1
13,PSB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,29
14,PSC,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,5,4
15,PSD,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,19,8
16,PSDB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,2,45
17,PSDC,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,2,0
18,PSL,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,1,0
19,PSOL,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,5
20,PT,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,51,5
21,PTB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,16,3
22,PTC,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,2
23,PTN,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,3,1
24,PTdoB,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,2,0
25,PV,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,5,1
26,REDE,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,5
27,S.Part.,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,0,1
28,Solidaried,6709,1672065,2015-11-10 20:15:44.0,2015-11-10 23:02:40.0,1,7
