,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,0,21
1,PCdoB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,11,0
2,PDT,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,14,1
3,PEN,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,1,0
4,PHS,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,2,2
5,PMB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,6,6
6,PMDB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,44,13
7,PP,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,22,16
8,PPS,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,1,8
9,PR,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,23,4
10,PRB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,14,2
11,PROS,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,8,0
12,PSB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,2,28
13,PSC,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,2,9
14,PSD,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,21,6
15,PSDB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,0,49
16,PSL,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,1,0
17,PSOL,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,5,0
18,PT,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,53,0
19,PTB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,14,2
20,PTC,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,0,1
21,PTN,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,8,0
22,PTdoB,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,3,0
23,PV,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,0,4
24,REDE,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,4,1
25,S.Part.,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,1,1
26,Solidaried,6845,1806249,2016-03-02 14:00:03.0,2016-03-02 19:58:57.0,1,12
