,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,19
1,PCdoB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,8,0
2,PDT,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,13,0
3,PEN,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,0
4,PHS,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,3,0
5,PMDB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,38,2
6,PMN,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,3,0
7,PP,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,17,8
8,PPS,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,9
9,PR,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,19,1
10,PRB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,13,0
11,PROS,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,7,0
12,PRP,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,1,0
13,PSB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,22,3
14,PSC,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,2,3
15,PSD,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,15,1
16,PSDB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,1,29
17,PSDC,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,2,0
18,PSL,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,0
19,PSOL,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,5
20,PT,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,46,1
21,PTB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,14,1
22,PTC,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,1
23,PTN,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,1,0
24,PTdoB,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,0
25,PV,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,4,0
26,REDE,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,3
27,S.Part.,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,0,1
28,Solidaried,6702,1672065,2015-11-10 14:00:11.0,2015-11-10 20:15:06.0,1,9
