,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,20
1,PCdoB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,7
2,PDT,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,12
3,PEN,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,1
4,PMDB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,51
5,PMN,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,0
6,PP,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,25
7,PPS,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,5
8,PR,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,15
9,PRB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,4
10,PROS,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,3,10
11,PRP,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,2
12,PSB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,15
13,PSC,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,10
14,PSD,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,28
15,PSDB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,30
16,PSOL,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,3
17,PT,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,34
18,PTB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,8
19,PTdoB,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,2
20,PV,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,4
21,Solidaried,5995,617737,2014-10-28 18:28:53.0,2014-10-28 22:10:49.0,0,13
