,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,4,11
1,PCdoB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,11,2
2,PDT,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,1,15
3,PEN,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,0,1
4,PHS,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,4,0
5,PMDB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,37,12
6,PMN,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,2,1
7,PP,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,12,14
8,PPS,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,0,10
9,PR,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,20,7
10,PRB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,12,6
11,PROS,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,8,3
12,PRP,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,2,0
13,PRTB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,1,0
14,PSB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,6,21
15,PSC,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,2,7
16,PSD,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,20,7
17,PSDB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,1,39
18,PSDC,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,2,0
19,PSL,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,1,0
20,PSOL,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,0,5
21,PT,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,55,3
22,PTB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,13,8
23,PTC,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,2,0
24,PTN,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,3,1
25,PTdoB,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,1,0
26,PV,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,3,3
27,Solidaried,6295,865930,2015-05-07 17:00:01.0,2015-05-07 19:00:02.0,0,8
