,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,15,1
1,PCdoB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,0,6
2,PDT,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,1,11
3,PEN,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,1,1
4,PHS,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,6,0
5,PMB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,0,1
6,PMDB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,48,0
7,PP,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,35,0
8,PPS,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,6,0
9,PR,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,30,1
10,PRB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,16,0
11,PROS,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,4,1
12,PRP,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,1,0
13,PSB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,17,3
14,PSC,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,6,0
15,PSD,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,23,0
16,PSDB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,40,0
17,PSL,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,1,0
18,PSOL,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,0,5
19,PT,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,0,45
20,PTB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,17,1
21,PTN,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,5,1
22,PTdoB,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,2,1
23,PV,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,5,0
24,REDE,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,2,1
25,Solidaried,7253,2088351,2016-10-25 21:02:07.0,2016-10-26 02:00:58.0,11,1
