,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,23,2
1,PCdoB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,0,8
2,PDT,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,1,12
3,PEN,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,3,0
4,PHS,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,4,2
5,PMB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,0,1
6,PMDB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,52,4
7,PP,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,33,7
8,PPS,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,6,3
9,PR,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,17,5
10,PRB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,14,3
11,PROS,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,3,1
12,PRP,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,1,0
13,PSB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,15,9
14,PSC,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,9,1
15,PSD,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,26,3
16,PSDB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,41,1
17,PSL,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,1,1
18,PSOL,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,0,6
19,PT,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,0,52
20,PTB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,13,2
21,PTN,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,7,5
22,PTdoB,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,1,2
23,PV,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,5,1
24,REDE,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,0,4
25,Solidaried,7503,2122076,2017-04-26 22:32:13.0,2017-04-27 02:06:13.0,10,3
