,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
1,PCdoB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
2,PDT,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
3,PEN,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
4,PHS,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
5,PMB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
6,PMDB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
7,PP,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
8,PPS,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
9,PR,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
10,PRB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
11,PROS,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
12,PRP,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
13,PSB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
14,PSC,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
15,PSD,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
16,PSDB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
17,PSL,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
18,PSOL,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
19,PT,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
20,PTB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
21,PTN,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
22,PTdoB,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
23,PV,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
24,REDE,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
25,Solidaried,7546,2121839,2017-05-16 13:42:08.0,2017-05-16 18:49:45.0,,
