,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,2,15
1,PCdoB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,4,0
2,PDT,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,7,0
3,PEN,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,2
4,PHS,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,3
5,PMB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,2
6,PMDB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,36
7,PP,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,2,22
8,PPS,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,5
9,PR,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,24
10,PRB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,9
11,PROS,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,3
12,PRP,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,0
13,PRTB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,1
14,PSB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,3,17
15,PSC,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,7
16,PSD,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,9
17,PSDB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,24
18,PSL,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,1
19,PSOL,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,2,4
20,PT,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,25,15
21,PTB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,5
22,PTN,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,9
23,PTdoB,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,2
24,PV,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,0,5
25,REDE,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,2
26,Solidaried,7105,2080237,2016-08-10 09:43:27.0,2016-08-10 13:37:47.0,1,4
