,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,1,12
1,PCdoB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,8,0
2,PDT,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,15,1
3,PHS,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,1,0
4,PMDB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,48,1
5,PMN,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,2,0
6,PP,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,20,1
7,PPS,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,1,5
8,PR,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,23,2
9,PRB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,8,0
10,PRP,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,0,0
11,PRTB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,0,0
12,PSB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,19,1
13,PSC,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,7,0
14,PSD,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,30,1
15,PSDB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,0,28
16,PSL,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,1,0
17,PSOL,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,0,3
18,PT,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,61,0
19,PTB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,13,1
20,PTC,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,0,0
21,PTdoB,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,1,0
22,PV,4810,513496,2011-11-09 13:30:29.0,2011-11-09 19:06:08.0,8,0
