,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,6,17
1,PCdoB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,7,0
2,PDT,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,13,11
3,PHS,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,1,0
4,PMDB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,41,15
5,PMN,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,0
6,PP,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,29,3
7,PPS,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,1,9
8,PR,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,13,19
9,PRB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,10
10,PRP,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,1
11,PRTB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,1
12,PSB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,20,4
13,PSC,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,14
14,PSD,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,16,18
15,PSDB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,1,45
16,PSL,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,1
17,PSOL,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,2
18,PT,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,73,1
19,PTB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,12,4
20,PTC,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,0,1
21,PTdoB,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,1,1
22,PV,4925,520245,2012-03-28 16:31:13.0,2012-03-28 21:32:53.0,3,5
