voteId,annLabel,orient,dx,dy,wrap
0001,"O Impeachemnt de Dilma mostrou como a base da petista havia encolhido em comparação com a de Lula. Desde 2012, votos contra o governo vinham se tornando mais comuns.","lower",0,0,120
0002,"As denúncias contra o emedebista foram arquivadas com sobras. Ele precisava de 1/3 da Câmara. Na 1º, conseguiu mais da metade...","upper",0,35,120
0003,"...e, na segunda, um pouco menos, mas ainda o bastante.","upper",0,0,90
0004,"O petista também conseguiu adiar o fim da CPMF, imposto importante para os cofres do governo. A medida, porém, não passou pelo Senado e o tributo deixou de existir.","upper",0,0,200
1932,"A Reforma da Previdência de Lula teve apoio da oposição, mas sofreu boicote de partes do PT.","upper",0,0,120
2116,"Lula também aprovou uma reforma tributária que alterou o cálculo de cobrança do ICMS, entre outras medidas. A proposta foi quase unânime.","upper",0,80,200
7214,"Primeira medida do governo Temer que dependia de amplo apoio na Câmara, a PEC do Teto passou em dois turnos com folga","upper",0,120,120
7492,"A Reforma trabalhista de Temer precisava apenas de maioria absoluta, ao contrário das PECs, que exigem 3/5 da casa. Também passou com sobras","upper",0,-1,100
