,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,1,16
1,PCdoB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,8,0
2,PDT,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,3,21
3,PEN,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,1,0
4,PHS,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,0,0
5,PMDB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,49,2
6,PMN,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,2,1
7,PP,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,20,1
8,PPS,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,0,8
9,PR,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,23,1
10,PRB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,10,0
11,PRP,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,3,0
12,PRTB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,1,0
13,PSB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,16,2
14,PSC,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,2,9
15,PSD,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,11,26
16,PSDB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,0,37
17,PSL,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,1,0
18,PSOL,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,0,3
19,PT,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,80,1
20,PTB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,16,0
21,PTdoB,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,1,0
22,PV,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,8,0
23,S.Part.,5399,564520,2013-05-21 20:10:54.0,2013-05-21 23:59:38.0,1,0
