,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,29,0
1,PCdoB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,8,0
2,PDT,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,12,0
3,PHS,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,1,0
4,PMDB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,59,1
5,PMN,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,0,0
6,PP,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,25,1
7,PPS,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,9,1
8,PR,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,25,1
9,PRB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,0,0
10,PRTB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,0,0
11,PSB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,18,0
12,PSC,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,8,0
13,PSDB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,28,13
14,PSOL,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,0,2
15,PT,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,58,0
16,PTB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,13,0
17,PTC,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,0,0
18,PTdoB,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,0,0
19,PV,3562,387129,2009-02-18 10:00:16.0,2009-02-18 13:19:59.0,9,0
