dataHoraFim,com_governo,contra_governo
2006-01-01,0.5,0.0
2006-07-31,0.41,0.09
2007-01-31,0.71,0.0
2007-07-31,1.0,0.21
2008-01-31,0.81,0.04
2008-07-31,0.53,0.02
2009-01-31,0.61,0.0
2009-07-31,0.51,0.31
2010-01-31,1.02,0.73
2010-07-31,1.05,0.9
2011-01-31,0.75,0.67
2011-07-31,0.48,0.03
2012-01-31,0.72,0.0
2012-07-31,0.45,0.09
2013-01-31,0.06,0.0
2013-07-31,,
2014-01-31,,
2014-07-31,,
2015-01-31,,
2015-07-31,1.54,0.21
2016-01-31,0.76,0.47
2019-01-01,0.26,0.37
