dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2017-08-16 22:02:56,PODE,7713,20600,2017-08-16 18:02:02,10.0,2.0
2017-09-13 22:06:20,PODE,7808,20773,2017-09-13 17:03:06,13.0,1.0
2018-03-13 22:10:08,PODE,8236,22026,2018-03-13 19:01:18,8.0,3.0
2015-04-08 21:24:42,PODE,6204,14955,2015-04-08 20:01:20,2.0,2.0
2017-11-07 17:18:52,PODE,7967,21238,2017-11-07 09:58:34,8.0,2.0
2017-11-07 22:24:38,PODE,7969,21234,2017-11-07 17:19:04,8.0,1.0
2015-03-05 19:05:54,PODE,6117,14569,2015-03-05 14:00:11,1.0,2.0
2015-03-10 21:42:20,PODE,6126,14581,2015-03-10 20:00:32,4.0,0.0
2015-03-24 22:04:16,PODE,6169,14781,2015-03-24 20:01:36,3.0,1.0
2015-03-25 22:32:05,PODE,6178,14853,2015-03-25 19:56:41,2.0,0.0
2015-08-26 20:13:09,PODE,6531,16273,2015-08-26 14:00:06,0.0,4.0
2017-10-31 23:25:07,PODE,7964,21058,2017-10-31 18:25:06,6.0,0.0
2017-10-31 23:25:07,PODE,7965,21053,2017-10-31 18:25:06,4.0,2.0
2018-04-04 13:31:55,PODE,8271,22132,2018-04-04 09:39:44,7.0,3.0
2018-04-04 16:30:25,PODE,8272,22141,2018-04-04 13:32:12,9.0,4.0
2015-03-25 19:56:26,PODE,6171,14804,2015-03-25 14:00:12,3.0,0.0
2015-03-26 14:00:11,PODE,6183,14878,2015-03-26 09:07:32,2.0,0.0
2015-04-28 22:12:18,PODE,6259,15165,2015-04-28 20:04:02,4.0,0.0
2015-08-04 22:16:29,PODE,6485,16074,2015-08-04 19:05:01,1.0,3.0
2015-08-06 01:18:28,PODE,6487,16120,2015-08-05 20:01:14,2.0,2.0
2015-08-06 01:18:28,PODE,6488,16119,2015-08-05 20:01:14,1.0,2.0
2015-08-06 01:52:16,PODE,6489,16095,2015-08-06 01:19:09,0.0,4.0
2015-08-11 21:14:48,PODE,6497,16089,2015-08-11 18:50:01,3.0,1.0
2016-04-28 17:33:34,PODE,6935,17752,2016-04-28 08:00:04,3.0,0.0
2016-05-03 21:35:55,PODE,6942,17749,2016-05-03 19:39:09,10.0,0.0
2015-03-10 20:00:19,PODE,6120,14515,2015-03-10 14:00:05,3.0,1.0
2015-03-31 19:01:19,PODE,6190,14772,2015-03-31 14:01:10,1.0,2.0
2015-03-31 19:01:19,PODE,6192,14913,2015-03-31 14:01:10,2.0,1.0
2015-09-02 22:59:44,PODE,6550,16372,2015-09-02 20:02:36,2.0,2.0
2015-09-02 22:59:44,PODE,6551,16368,2015-09-02 20:02:36,4.0,0.0
2015-09-22 20:16:30,PODE,6598,16524,2015-09-22 14:00:02,3.0,1.0
2015-09-23 19:44:52,PODE,6604,16513,2015-09-23 16:58:47,2.0,2.0
2017-11-09 16:12:47,PODE,7998,21322,2017-11-09 09:35:20,5.0,2.0
2018-04-11 17:51:58,PODE,8282,22175,2018-04-11 13:00:01,10.0,1.0
2018-04-11 21:38:34,PODE,8284,22146,2018-04-11 17:52:12,14.0,0.0
2018-04-11 21:38:34,PODE,8285,22166,2018-04-11 17:52:12,9.0,1.0
2018-04-11 21:38:34,PODE,8286,22170,2018-04-11 17:52:12,11.0,0.0
2018-04-11 21:38:34,PODE,8290,22047,2018-04-11 17:52:12,12.0,0.0
2015-02-10 21:41:41,PODE,6088,14147,2015-02-10 20:04:43,4.0,0.0
2015-02-10 21:41:41,PODE,6089,14403,2015-02-10 20:04:43,4.0,0.0
2015-03-03 19:00:37,PODE,6106,14513,2015-03-03 14:00:08,4.0,0.0
2015-03-12 19:59:23,PODE,6137,14648,2015-03-12 14:11:34,3.0,0.0
2015-03-12 19:59:23,PODE,6138,14544,2015-03-12 14:11:34,2.0,0.0
2015-03-17 20:08:29,PODE,6143,14626,2015-03-17 14:00:24,3.0,1.0
2015-03-17 20:08:29,PODE,6144,14627,2015-03-17 14:00:24,2.0,0.0
2015-03-19 19:07:58,PODE,6158,14707,2015-03-19 14:00:28,4.0,0.0
2015-04-07 22:21:19,PODE,6200,14923,2015-04-07 20:00:33,3.0,1.0
2015-09-10 15:17:51,PODE,6575,16453,2015-09-10 09:06:48,4.0,0.0
2015-09-16 20:28:36,PODE,6582,16412,2015-09-16 14:00:09,3.0,0.0
2015-10-20 20:00:18,PODE,6658,16773,2015-10-20 14:00:05,3.0,0.0
2015-10-20 20:00:18,PODE,6662,13764,2015-10-20 14:00:05,3.0,1.0
2017-11-07 22:24:38,PODE,7974,21230,2017-11-07 17:19:04,12.0,1.0
2015-02-10 20:04:34,PODE,6083,14391,2015-02-10 14:00:14,3.0,1.0
2015-03-10 21:42:20,PODE,6125,14585,2015-03-10 20:00:32,4.0,0.0
2015-03-17 20:08:29,PODE,6142,14661,2015-03-17 14:00:24,4.0,0.0
2015-03-18 20:01:11,PODE,6151,14638,2015-03-18 14:00:21,4.0,0.0
2015-04-07 20:00:18,PODE,6198,14935,2015-04-07 14:00:14,4.0,0.0
2015-04-09 19:00:39,PODE,6205,14983,2015-04-09 14:00:32,3.0,0.0
