,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,2,25
1,PCdoB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,10,0
2,PDT,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,19,0
3,PHS,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,2,0
4,PMDB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,45,9
5,PMN,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,3,1
6,PP,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,30,3
7,PPS,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,0,3
8,PR,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,30,1
9,PRB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,3,0
10,PSB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,23,3
11,PSC,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,7,0
12,PSDB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,1,31
13,PSOL,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,0,2
14,PT,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,68,1
15,PTB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,11,1
16,PTC,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,2,0
17,PTdoB,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,1,0
18,PV,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,12,0
19,S.Part.,2958,330427,2007-09-19 16:00:28.0,2007-09-19 20:01:18.0,1,0
