,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,PCdoB,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,6,1
1,PDT,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,12,0
2,PFL,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,1,41
3,PL,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,17,0
4,PMDB,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,41,2
5,PMR,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,1,0
6,PP,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,30,3
7,PPS,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,1,9
8,PRONA,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,0,2
9,PSB,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,20,0
10,PSC,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,3,0
11,PSDB,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,1,31
12,PSOL,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,6,0
13,PT,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,57,0
14,PTB,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,20,1
15,PV,2463,298221,2005-11-16 14:00:15.0,2005-11-16 20:53:14.0,5,0
