,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
1,PCdoB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
2,PDT,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
3,PHS,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
4,PMDB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
5,PMN,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
6,PP,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
7,PPS,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
8,PR,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
9,PRB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
10,PSB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
11,PSC,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
12,PSDB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
13,PSOL,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
14,PT,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
15,PTB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
16,PTC,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
17,PTdoB,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
18,PV,3711,290450,2009-06-02 20:03:06.0,2009-06-02 22:28:38.0,,
