,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,Avante,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,1,1
1,DEM,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,25,3
2,MDB,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,36,0
3,PCdoB,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,0,10
4,PDT,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,11,7
5,PHS,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,3,1
6,PP,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,39,0
7,PPL,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,0,0
8,PPS,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,5,0
9,PR,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,27,1
10,PRB,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,14,0
11,PROS,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,8,0
12,PSB,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,17,0
13,PSC,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,6,0
14,PSD,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,23,1
15,PSDB,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,34,1
16,PSL,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,5,0
17,PSOL,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,0,5
18,PT,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,1,43
19,PTB,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,11,0
20,PV,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,1,0
21,Patriota,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,3,0
22,Podemos,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,12,1
23,REDE,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,1,0
24,Solidaried,8646,2189085,2018-12-11 17:06:50.0,2018-12-11 22:08:02.0,7,0
