,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,6,22
1,PCdoB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,8,1
2,PDT,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,12,2
3,PHS,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,1,1
4,PMDB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,53,3
5,PMN,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,3,0
6,PP,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,22,2
7,PPS,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,0,7
8,PR,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,24,1
9,PRB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,5,0
10,PSB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,14,1
11,PSC,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,1,6
12,PSDB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,0,27
13,PSOL,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,0,3
14,PT,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,59,1
15,PTB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,17,1
16,PTC,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,1,1
17,PTdoB,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,1,0
18,PV,4089,453801,2009-11-25 14:40:03.0,2009-11-25 19:38:52.0,12,1
