,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,4,26
1,PCdoB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,8,1
2,PDT,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,12,4
3,PHS,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,0,0
4,PMDB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,51,8
5,PMN,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,2,0
6,PP,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,24,0
7,PPS,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,0,6
8,PR,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,31,1
9,PRB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,4,1
10,PSB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,17,2
11,PSC,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,9,4
12,PSDB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,0,32
13,PSOL,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,0,3
14,PT,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,58,2
15,PTB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,17,0
16,PTC,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,3,0
17,PTdoB,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,1,0
18,PV,4080,453801,2009-11-24 14:00:15.0,2009-11-24 19:58:52.0,10,0
