,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,23,19
1,PCdoB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,6,2
2,PDT,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,9,7
3,PHS,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,0,0
4,PMDB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,8,59
5,PMN,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,2,2
6,PP,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,2,26
7,PPS,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,6,0
8,PR,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,0,27
9,PRB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,0,1
10,PSB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,13,4
11,PSC,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,8,0
12,PSDB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,47,3
13,PSOL,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,3,0
14,PT,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,53,2
15,PTB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,2,15
16,PTC,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,1,1
17,PTdoB,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,0,1
18,PV,3800,434563,2009-08-19 14:00:19.0,2009-08-19 20:14:22.0,10,0
