,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,Avante,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,3,2
1,DEM,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,29,1
2,PCdoB,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,0,8
3,PDT,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,2,12
4,PEN,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,3,0
5,PHS,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,3,1
6,PMDB,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,33,0
7,PP,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,38,2
8,PPL,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,1,0
9,PPS,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,7,0
10,PR,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,30,2
11,PRB,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,16,0
12,PROS,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,6,2
13,PSB,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,2,3
14,PSC,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,6,1
15,PSD,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,27,0
16,PSDB,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,40,0
17,PSL,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,5,0
18,PSOL,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,0,6
19,PT,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,0,44
20,PTB,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,8,1
21,PV,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,1,0
22,Podemos,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,13,2
23,REDE,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,0,1
24,Solidaried,8298,2160860,2018-04-18 16:33:09.0,2018-04-18 21:01:45.0,6,1
