,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,18,0
1,PCdoB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,0,11
2,PDT,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,1,13
3,PEN,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,2,0
4,PHS,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,0,5
5,PMDB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,36,1
6,PP,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,23,5
7,PPS,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,8,0
8,PR,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,21,2
9,PRB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,14,1
10,PROS,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,1,1
11,PRP,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,0,0
12,PSB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,16,8
13,PSC,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,8,1
14,PSD,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,23,1
15,PSDB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,31,1
16,PSL,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,1,0
17,PSOL,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,0,6
18,PT,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,0,44
19,PTB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,8,1
20,PTdoB,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,0,3
21,PV,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,4,0
22,Podemos,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,5,2
23,REDE,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,2,2
24,Solidaried,7763,2132524,2017-08-30 09:57:08.0,2017-08-30 16:39:47.0,9,0
