,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,24,1
1,PCdoB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,0,8
2,PDT,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,17,0
3,PEN,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,2,0
4,PHS,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,7,0
5,PMB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,0,1
6,PMDB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,48,0
7,PP,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,39,0
8,PPS,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,8,0
9,PR,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,25,0
10,PRB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,19,0
11,PROS,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,1,0
12,PRP,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,1,0
13,PSB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,26,0
14,PSC,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,6,2
15,PSD,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,29,0
16,PSDB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,34,0
17,PSL,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,0,0
18,PSOL,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,0,6
19,PT,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,31,19
20,PTB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,13,1
21,PTN,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,11,1
22,PTdoB,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,2,1
23,PV,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,3,1
24,REDE,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,3,0
25,Solidaried,7415,2124774,2017-03-14 14:00:03.0,2017-03-14 20:05:44.0,9,0
