,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,21,6
1,PCdoB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,1,7
2,PDT,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,1,14
3,PEN,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,3,0
4,PHS,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,3,4
5,PMB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,0,1
6,PMDB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,54,4
7,PP,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,31,9
8,PPS,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,5,3
9,PR,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,27,7
10,PRB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,17,3
11,PROS,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,4,1
12,PRP,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,1,0
13,PSB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,18,13
14,PSC,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,5,4
15,PSD,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,28,5
16,PSDB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,37,7
17,PSL,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,2,0
18,PSOL,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,0,6
19,PT,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,0,25
20,PTB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,14,0
21,PTN,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,7,4
22,PTdoB,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,1,1
23,PV,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,5,0
24,REDE,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,0,4
25,Solidaried,7526,2124451,2017-05-10 09:20:50.0,2017-05-10 18:04:39.0,11,2
