,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,0,12
1,PCdoB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,12,0
2,PDT,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,2,14
3,PEN,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,1,0
4,PHS,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,1,0
5,PMDB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,48,10
6,PMN,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,1,1
7,PP,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,21,2
8,PPS,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,1,3
9,PR,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,20,2
10,PRB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,5,0
11,PROS,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,6,5
12,PRP,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,2,1
13,PSB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,2,18
14,PSC,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,5,1
15,PSD,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,6,23
16,PSDB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,0,30
17,PSOL,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,0,3
18,PT,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,71,0
19,PTB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,13,2
20,PTdoB,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,2,1
21,PV,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,5,0
22,SDD,5649,584020,2013-10-09 18:50:03.0,2013-10-09 22:02:30.0,1,10
