,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
1,PCdoB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
2,PDT,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
3,PMDB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
4,PMN,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
5,PP,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
6,PPS,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
7,PR,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
8,PRB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
9,PROS,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
10,PRP,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
11,PSB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
12,PSC,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
13,PSD,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
14,PSDB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
15,PSOL,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
16,PT,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
17,PTB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
18,PTdoB,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
19,PV,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
20,SDD,5675,592935,2013-10-22 18:15:23.0,2013-10-22 23:17:19.0,,
