,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,43,0
1,PCdoB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,11,0
2,PDT,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,21,0
3,PHS,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,2,0
4,PMDB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,66,1
5,PMN,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,2,0
6,PP,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,33,1
7,PPS,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,7,1
8,PR,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,3,25
9,PRB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,1,0
10,PSB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,20,0
11,PSC,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,5,0
12,PSDB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,41,2
13,PSOL,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,3,0
14,PT,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,67,1
15,PTB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,14,0
16,PTC,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,0,0
17,PTdoB,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,1,0
18,PV,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,8,1
19,S.Part.,2861,350464,2007-06-26 20:06:05.0,2007-06-26 21:46:34.0,2,0
