,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,3,12
1,PCdoB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,0,0
2,PDT,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,17,2
3,PHS,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,1,0
4,PMDB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,59,4
5,PMN,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,4,0
6,PP,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,26,1
7,PPS,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,0,2
8,PR,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,34,0
9,PRB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,2,0
10,PSB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,15,3
11,PSC,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,8,0
12,PSDB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,0,5
13,PSOL,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,0,3
14,PT,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,66,1
15,PTB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,13,2
16,PTC,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,1,0
17,PTdoB,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,1,0
18,PV,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,7,0
19,S.Part.,2995,356695,2007-10-02 20:02:27.0,2007-10-02 22:51:04.0,1,0
