,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,4,16
1,PCdoB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,13,0
2,PDT,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,22,0
3,PHS,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,1,0
4,PMDB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,61,2
5,PMN,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,3,0
6,PP,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,29,0
7,PPS,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,4,2
8,PR,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,26,1
9,PRB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,0,0
10,PSB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,20,0
11,PSC,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,6,0
12,PSDB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,1,19
13,PSOL,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,3,0
14,PT,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,63,1
15,PTB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,13,0
16,PTC,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,0,0
17,PTdoB,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,1,0
18,PV,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,9,0
19,S.Part.,2922,353093,2007-09-04 14:00:14.0,2007-09-04 20:02:55.0,1,0
